hub_txId,neighbor_txId,attention_score,rank
20521889,156074235,0.22366133332252502,1
20521889,155614935,0.0579705685377121,2
20521889,155816207,0.02916323021054268,3
28547465,96716147,0.2527916431427002,1
28547465,96576022,0.12296868115663528,2
28547465,96646588,0.06459949165582657,3
16838611,97216955,0.42535316944122314,1
16838611,16838611,0.1609676033258438,2
16838611,97196598,0.06444630026817322,3
47521535,158010729,0.0684811919927597,1
47521535,47521535,0.06103134900331497,2
47521535,103206927,0.04994228854775429,3
38688623,218051244,0.15217679738998413,1
38688623,7834222,0.08338013291358948,2
38688623,38688623,0.05025772377848625,3
91934616,94245088,0.050378017127513885,1
91934616,94244772,0.04920227825641632,2
91934616,94244680,0.04679550230503082,3
38538087,72012304,0.08304235339164734,1
38538087,72001573,0.07182812690734863,2
38538087,38538087,0.06463411450386047,3
36364435,218414030,0.24688075482845306,1
36364435,90578545,0.050492625683546066,2
36364435,219386216,0.038626253604888916,3
21456350,71459046,0.11026883125305176,1
21456350,71791273,0.07266224920749664,2
21456350,21456350,0.07082295417785645,3
155677035,164853287,0.17121219635009766,1
155677035,156304936,0.11511756479740143,2
155677035,164853274,0.10687367618083954,3
